pruning_variant,priority_policy,portfolio_mode,trading_session,net_pnl
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2026-05-25,-36.67
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2026-05-26,169.26
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2026-05-27,-249.74
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2026-05-28,96.76
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2026-05-29,-114.53
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2026-06-01,-82.24
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2026-06-02,20.76
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2026-06-03,297.26
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2026-06-04,226.26
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2026-06-05,289.76
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2026-06-08,-66.74
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2026-06-09,-37.74
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2026-06-10,-131.74
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2026-06-11,-245.24
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2026-06-12,392.76
overlay_keep_representatives_only,lowest_correlation_first,max_one_trade_per_session,2026-06-15,-0.74
