session_date,candidate_id,trades,net_pnl,stress_pnl
2026-04-22,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,91.52000000000001,89.52000000000001
2026-04-23,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-51.980000000000004,-53.980000000000004
2026-04-24,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-16.480000000000018,-18.480000000000018
2026-04-27,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-93.47999999999999,-95.47999999999999
2026-04-28,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,1,-29.24,-30.24
2026-04-29,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-139.98,-141.98
2026-04-30,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,206.01999999999998,204.01999999999998
2026-05-01,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-33.980000000000004,-35.980000000000004
2026-05-04,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-138.48000000000002,-140.48000000000002
2026-05-05,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,1,24.26,23.26
2026-05-06,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-27.980000000000004,-29.980000000000004
2026-05-07,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,118.02,116.02
2026-05-08,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,105.52000000000001,103.52000000000001
2026-05-11,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-173.48000000000002,-175.48000000000002
2026-05-12,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,-77.48000000000002,-79.48000000000002
2026-05-13,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,81.52000000000001,79.52000000000001
2026-05-14,MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,26.519999999999982,24.519999999999982
