audit,portfolio_set,portfolio_mode,fold,is_weak_fold,module_group,phase,net_pnl_contribution
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,4,True,phase15a trend/power continuation,phase15a,385.74
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,4,True,phase10b overnight/prior-level branch,phase10b,12462.04
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,4,True,phase11a opening range fade,phase11a,708.68
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,4,True,phase12a opening-drive pullback,phase12a,691.46
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,4,True,phase13a prior RTH high/low breakout,phase13a,680.02
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,4,True,phase14a prior RTH midpoint/close reaction,phase14a,-32.97
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,4,True,phase15a trend/power continuation,phase15a,359.74
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,4,True,phase10b overnight/prior-level branch,phase10b,6552.54
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,4,True,phase11a opening range fade,phase11a,-164.34
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,4,True,phase12a opening-drive pullback,phase12a,567.48
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,4,True,phase13a prior RTH high/low breakout,phase13a,73.02
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,4,True,phase14a prior RTH midpoint/close reaction,phase14a,-154.99
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,4,True,phase15a trend/power continuation,phase15a,417.74
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,5,True,phase10b overnight/prior-level branch,phase10b,-1873.1
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,5,True,phase11a opening range fade,phase11a,-50.04
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,5,True,phase12a opening-drive pullback,phase12a,-13.1
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,5,True,phase13a prior RTH high/low breakout,phase13a,2043.8
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,5,True,phase14a prior RTH midpoint/close reaction,phase14a,-168.2
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,5,True,phase15a trend/power continuation,phase15a,346.31
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,6,True,phase10b overnight/prior-level branch,phase10b,18010.56
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,6,True,phase11a opening range fade,phase11a,1453.86
B,diversifier_only_phase13a,one_trade_at_a_time_chronological,6,True,phase12a opening-drive pullback,phase12a,596.17
