audit,portfolio_set,portfolio_mode,fold,is_weak_fold,overlap_days,overlap_day_frequency,avg_modules_firing_per_day,trade_overlap_count_portfolio_level,skipped_overlap_count_portfolio_level,skipped_session_count_portfolio_level,early_losing_module_when_later_module_helped_days,diagnosis_overlap_priority_risk,diagnosis_max_one_session_suppression_risk,high_movement_no_trade_days
B,audit_a_best_plus_phase13a,one_trade_at_a_time_chronological,6,False,43,1.0,8.44186,0,183,0,14,True,False,0
B,top_cross_family_plus_phase13a,one_trade_at_a_time_chronological,6,False,42,1.0,8.428571,0,165,0,14,True,False,0
B,all_parked_modules_with_phase13a,one_trade_at_a_time_chronological,6,False,40,1.0,8.65,0,689,0,14,True,False,0
B,rare_plus_diversifier_modules,one_trade_at_a_time_chronological,6,False,37,1.0,8.756757,0,152,0,14,True,False,0
B,greedy_low_correlation_with_phase13a,one_trade_at_a_time_chronological,6,False,44,1.0,8.545455,0,81,0,15,True,False,0
B,audit_a_best_reconstructed,raw_sum_diagnostic,2,False,41,0.97619,9.52381,40,0,0,7,True,False,0
B,audit_a_best_plus_phase13a,raw_sum_diagnostic,2,False,41,0.97619,9.52381,213,0,0,7,True,False,0
B,top_cross_family_plus_phase13a,raw_sum_diagnostic,2,False,41,0.97619,9.52381,212,0,0,7,True,False,0
B,diversifier_only_phase13a,raw_sum_diagnostic,2,False,41,0.97619,9.52381,119,0,0,7,True,False,0
B,rare_plus_diversifier_modules,raw_sum_diagnostic,2,False,41,0.97619,9.52381,185,0,0,7,True,False,0
B,greedy_low_correlation_with_phase13a,raw_sum_diagnostic,2,False,41,0.97619,9.52381,92,0,0,7,True,False,0
B,audit_a_best_reconstructed,raw_sum_diagnostic,3,False,41,1.0,10.121951,40,0,0,9,True,False,0
B,audit_a_best_plus_phase13a,raw_sum_diagnostic,3,False,41,1.0,10.121951,213,0,0,9,True,False,0
