candidate_id,fold,segment_start,segment_end,trades,net_pnl,stress_pnl,max_drawdown,best_day_concentration,best_trade_concentration
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,2,2026-01-08,2026-02-11,44,1070.44,1026.44,-482.72,0.380703,0.486492
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,3,2026-02-12,2026-03-18,43,1235.18,1192.18,-587.16,0.461892,0.284784
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,4,2026-03-19,2026-04-22,41,408.16,367.16,-601.22,1.280184,1.235447
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,5,2026-04-23,2026-05-27,47,149.22,102.22,-420.92,2.15132,1.837957
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_keep1000,6,2026-05-28,2026-07-01,46,-2859.54,-2905.54,-4322.02,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,1,2025-12-02,2026-01-07,39,-1246.36,-1285.36,-1450.66,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,2,2026-01-08,2026-02-11,41,1086.16,1045.16,-458.92,0.443784,0.479451
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,3,2026-02-12,2026-03-18,36,864.36,828.36,-548.96,0.660049,0.40696
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,4,2026-03-19,2026-04-22,39,-108.36,-147.36,-910.32,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,5,2026-04-23,2026-05-27,44,-166.56,-210.56,-570.2,1.0,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target20R_mt2_gap30_first10_avoid1000,6,2026-05-28,2026-07-01,45,-1886.8,-1931.8,-3545.8,1.0,1.0
