candidate_id,scope,bucket,pnl,trades,concentration
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-12-12,17.26,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-12-16,-382.74,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-12-17,48.26,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-12-18,-157.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-12-19,24.26,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-12-22,-80.74,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-12-23,54.26,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-12-24,71.76,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-12-26,6.76,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-12-29,-75.74,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-12-30,-92.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2025-12-31,-27.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2026-01-02,-157.74,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2026-01-05,-22.24,1,1.0
MNQ_vcb_tf5_range_percentile_lb8_q025_both_sides_target15R_mt1_gap30_first10_avoid1000,day,2026-01-06,-55.24,1,1.0
